id;note_1;note_2;note_3;vertical;tonality_maj;base_chord;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq;chord_maj
C_I;C4;E4;G4;True;True;C_I;Тоническое трезвучие;0;Внизу;Основной вид;;1;;C4_E4_G4;C4_E4_G4_ver;True
C_E_maj3_C_I;C4;E4;;True;True;C_I;;;;;Большая терция;2;;C4_E4;C4_E4_ver;
E_G_min3_C_I;;E4;G4;True;True;C_I;;;;;Малая терция;3;;E4_G4;E4_G4_ver;
C_G_perf5_C_I;C4;;G4;True;True;C_I;;;;;Квинта;4;;C4_G4;C4_G4_ver;
C_I6;E4;G4;C5;True;True;C_I6;Тонический секстаккорд;0;Наверху;Первое обращение;;5;;E4_G4_C5;E4_G4_C5_ver;True
E_G_maj3_C_I6;E4;G4;;True;True;C_I6;;;;;Малая терция;6;;E4_G4;E4_G4_ver;
G_C_perf4_C_I6;;G4;C5;True;True;C_I6;;;;;Кварта;7;;G4_C5;G4_C5_ver;
E_C_min6_C_I6;E4;;C5;True;True;C_I6;;;;;Малая секста;8;;E4_C5;E4_C5_ver;
C_I64;G4;C5;E5;True;True;C_I64;Тонический квартсекстаккорд;0;В середине;Второе обращение;;9;;G4_C5_E5;G4_C5_E5_ver;True
G_C_perf4_C_I64;G4;C5;;True;True;C_I64;;;;;Кварта;10;;G4_C5;G4_C5_ver;
C_E_maj3_C_I64;;C5;E5;True;True;C_I64;;;;;Большая терция;11;;C5_E5;C5_E5_ver;
G_E_maj6_C_I64;G4;;E5;True;True;C_I64;;;;;Большая секста;12;;G4_E5;G4_E5_ver;
C_I_arp;C4;E4;G4;False;True;C_I_arp;Тоническое трезвучие;1;Внизу;Основной вид;;13;;C4_E4_G4;C4_E4_G4;True
C_E_maj3_C_I_mel;C4;E4;;False;True;C_I_arp;;;;;Большая терция;14;False;C4_E4;C4_E4;
E_G_min3_C_I_mel;;E4;G4;False;True;C_I_arp;;;;;Малая терция;15;False;E4_G4;E4_G4;
C_G_perf5_C_I_mel;C4;;G4;False;True;C_I_arp;;;;;Квинта;16;False;C4_G4;C4_G4;
C_I6_arp;E4;G4;C5;False;True;C_I6_arp;Тонический секстаккорд;2;Наверху;Первое обращение;;17;;E4_G4_C5;E4_G4_C5;True
E_G_maj3_C_I6_mel;E4;G4;;False;True;C_I6_arp;;;;;Малая терция;18;False;E4_G4;E4_G4;
G_C_perf4_C_I6_mel;;G4;C5;False;True;C_I6_arp;;;;;Кварта;19;False;G4_C5;G4_C5;
E_C_min6_C_I6_mel;E4;;C5;False;True;C_I6_arp;;;;;Малая секста;20;False;E4_C5;E4_C5;
C_I64_arp;G4;C5;E5;False;True;C_I64_arp;Тонический квартсекстаккорд;3;В середине;Второе обращение;;21;;G4_C5_E5;G4_C5_E5;True
G_C_perf4_C_I64_mel;G4;C5;;False;True;C_I64_arp;;;;;Кварта;22;False;G4_C5;G4_C5;
C_E_maj3_C_64_mel;;C5;E5;False;True;C_I64_arp;;;;;Большая терция;23;False;C5_E5;C5_E5;
G_E_maj6_C_I64_mel;G4;;E5;False;True;C_I64_arp;;;;;Большая секста;24;False;G4_E5;G4_E5;
F_IV;F4;A4;C5;True;True;F_IV;Субдоминантовое трезвучие;0;Внизу;Основной вид;;25;;F4_A4_C5;F4_A4_C5_ver;True
F_A_maj3_F_IV;F4;A4;;True;True;F_IV;;;;;Большая терция;26;;F4_A4;F4_A4_ver;
A_C_min3_F_IV;;A4;C5;True;True;F_IV;;;;;Малая терция;27;;A4_C5;A4_C5_ver;
F_C_perf5_F_IV;F4;;C5;True;True;F_IV;;;;;Квинта;28;;F4_C5;F4_C5_ver;
F_IV6;A4;C5;F5;True;True;F_IV6;Субдоминантовый секстаккорд;0;Наверху;Первое обращение;;29;;A4_C5_F5;A4_C5_F5_ver;True
A_C_min3_F_IV6;A4;C5;;True;True;F_IV6;;;;;Малая терция;30;;A4_C5;A4_C5_ver;
C_F_perf4_F_IV6;;C5;F5;True;True;F_IV6;;;;;Кварта;31;;C5_F5;C5_F5_ver;
A_F_min6_F_IV6;A4;;F5;True;True;F_IV6;;;;;Малая секста;32;;A4_F5;A4_F5_ver;
F_IV64;C5;F5;A5;True;True;F_IV64;Субдоминантовый квартсекстаккорд;0;В середине;Второе обращение;;33;;C5_F5_A5;C5_F5_A5_ver;True
C_F_perf4_F_IV64;C5;F5;;True;True;F_IV64;;;;;Кварта;34;;C5_F5;C5_F5_ver;
F_A_maj3_F_IV64;;F5;A5;True;True;F_IV64;;;;;Большая терция;35;;F5_A5;F5_A5_ver;
C_A_maj6_F_IV64;C5;;A5;True;True;F_IV64;;;;;Большая секста;36;;C5_A5;C5_A5_ver;
F_IV_arp;F4;A4;C5;False;True;F_IV_arp;Субдоминантовое трезвучие;4;Внизу;Основной вид;;37;;F4_A4_C5;F4_A4_C5;True
F_A_maj3_F_IV_mel;F4;A4;;False;True;F_IV_arp;;;;;Большая терция;38;False;F4_A4;F4_A4;
A_C_min3_F_IV_mel;;A4;C5;False;True;F_IV_arp;;;;;Малая терция;39;False;A4_C5;A4_C5;
F_C_perf5_F_IV_mel;F4;;C5;False;True;F_IV_arp;;;;;Квинта;40;False;F4_C5;F4_C5;
F_IV6_arp;A4;C5;F5;False;True;F_IV6_arp;Субдоминантовый секстаккорд;5;Наверху;Первое обращение;;41;;A4_C5_F5;A4_C5_F5;True
A_C_min3_F_IV6_mel;A4;C5;;False;True;F_IV6_arp;;;;;Малая терция;42;False;A4_C5;A4_C5;
C_F_perf4_F_IV6_mel;;C5;F5;False;True;F_IV6_arp;;;;;Кварта;43;False;C5_F5;C5_F5;
A_F_min6_F_IV6_mel;A4;;F5;False;True;F_IV6_arp;;;;;Малая секста;44;False;A4_F5;A4_F5;
F_IV64_arp;C5;F5;A5;False;True;F_IV64_arp;Субдоминантовый квартсекстаккорд;6;В середине;Второе обращение;;45;;C5_F5_A5;C5_F5_A5;True
C_F_perf4_F_IV64_mel;C5;F5;;False;True;F_IV64_arp;;;;;Кварта;46;False;C5_F5;C5_F5;
F_A_maj3_F_IV64_mel;;F5;A5;False;True;F_IV64_arp;;;;;Большая терция;47;False;F5_A5;F5_A5;
C_A_maj6_F_IV64_mel;C5;;A5;False;True;F_IV64_arp;;;;;Большая секста;48;False;C5_A5;C5_A5;
G_V;G4;B4;D5;True;True;G_V;Доминантовое трезвучие;0;Внизу;Основной вид;;49;;G4_B4_D5;G4_B4_D5_ver;True
G_B_maj3_G_V;G4;B4;;True;True;G_V;;;;;Большая терция;50;;G4_B4;G4_B4_ver;
B_D_min3_G_V;;B4;D5;True;True;G_V;;;;;Малая терция;51;;B4_D5;B4_D5_ver;
G_D_perf5_G_V;G4;;D5;True;True;G_V;;;;;Квинта;52;;G4_D5;G4_D5_ver;
G_V6;B4;D5;G5;True;True;G_V6;Доминантовый секстаккорд;0;Наверху;Первое обращение;;53;;B4_D5_G5;B4_D5_G5_ver;True
B_D_min3_G_V6;B4;D5;;True;True;G_V6;;;;;Малая терция;54;;B4_D5;B4_D5_ver;
D_G_perf4_G_V6;;D5;G5;True;True;G_V6;;;;;Кварта;55;;D5_G5;D5_G5_ver;
B_D_min6_G_V6;B4;;G5;True;True;G_V6;;;;;Малая секста;56;;B4_G5;B4_G5_ver;
G_V64;D5;G5;B5;True;True;G_V64;Доминантовый квартсекстаккорд;0;В середине;Второе обращение;;57;;D5_G5_B5;D5_G5_B5_ver;True
D_G_perf4_G_V64;D5;G5;;True;True;G_V64;;;;;Кварта;58;;D5_G5;D5_G5_ver;
G_B_maj3_G_V64;;G5;B5;True;True;G_V64;;;;;Большая терция;59;;G5_B5;G5_B5_ver;
D_B_maj6_G_V64;D5;;B5;True;True;G_V64;;;;;Большая секста;60;;D5_B5;D5_B5_ver;
G_V_arp;G4;B4;D5;False;True;G_V_arp;Доминантовое трезвучие;7;Внизу;Основной вид;;61;;G4_B4_D5;G4_B4_D5;True
G_B_maj3_G_V_mel;G4;B4;;False;True;G_V_arp;;;;;Большая терция;62;False;G4_B4;G4_B4;
B_D_min3_G_V_mel;;B4;D5;False;True;G_V_arp;;;;;Малая терция;63;False;B4_D5;B4_D5;
G_D_perf5_G_V_mel;G4;;D5;False;True;G_V_arp;;;;;Квинта;64;False;G4_D5;G4_D5;
G_V6_arp;B4;D5;G5;False;True;G_V6_arp;Доминантовый секстаккорд;8;Наверху;Первое обращение;;65;;B4_D5_G5;B4_D5_G5;True
B_D_min3_G_V6_mel;B4;D5;;False;True;G_V6_arp;;;;;Малая терция;66;False;B4_D5;B4_D5;
D_G_perf4_G_V6_mel;;D5;G5;False;True;G_V6_arp;;;;;Кварта;67;False;D5_G5;D5_G5;
B_D_min6_G_V6_mel;B4;;G5;False;True;G_V6_arp;;;;;Малая секста;68;False;B4_G5;B4_G5;
G_V64_arp;D5;G5;B5;False;True;G_V64_arp;Доминантовый квартсекстаккорд;9;В середине;Второе обращение;;69;;D5_G5_B5;D5_G5_B5;True
D_G_perf4_G_V64_mel;D5;G5;;False;True;G_V64_arp;;;;;Кварта;70;False;D5_G5;D5_G5;
G_B_maj3_G_V64_mel;;G5;B5;False;True;G_V64_arp;;;;;Большая терция;71;False;G5_B5;G5_B5;
D_B_maj6_G_V64_mel;D5;;B5;False;True;G_V64_arp;;;;;Большая секста;72;False;D5_B5;D5_B5;
Am_I;A3;C4;E4;True;False;Am_I;Тоническое трезвучие;0;Внизу;Основной вид;;73;;A3_C4_E4;A3_C4_E4_ver;False
A_C_min3_Am_I;A3;C4;;True;False;Am_I;;;;;Малая терция;74;;A3_C4;A3_C4_ver;
C_E_maj3_Am_I;;C4;E4;True;False;Am_I;;;;;Большая терция;75;;C4_E4;C4_E4_ver;
A_E_perf5_Am_I;A3;;E4;True;False;Am_I;;;;;Квинта;76;;A3_E4;A3_E4_ver;
Am_I6;C4;E4;A4;True;False;Am_I6;Тонический секстаккорд;0;Наверху;Первое обращение;;77;;C4_E4_A4;C4_E4_A4_ver;False
C_E_maj3_Am_I6;C4;E4;;True;False;Am_I6;;;;;Большая терция;78;;C4_E4;C4_E4_ver;
E_A_perf4_Am_I6;;E4;A4;True;False;Am_I6;;;;;Кварта;79;;E4_A4;E4_A4_ver;
C_A_maj6_Am_I6;C4;;A4;True;False;Am_I6;;;;;Большая секста;80;;C4_A4;C4_A4_ver;
Am_I64;E4;A4;C5;True;False;Am_I64;Тонический квартсекстаккорд;0;В середине;Второе обращение;;81;;E4_A4_C5;E4_A4_C5_ver;False
E_A_perf4_Am_I64;E4;A4;;True;False;Am_I64;;;;;Кварта;82;;E4_A4;E4_A4_ver;
A_C_min3_Am_I64;;A4;C5;True;False;Am_I64;;;;;Малая терция;83;;A4_C5;A4_C5_ver;
E_C_min6_Am_I64;E4;;C5;True;False;Am_I64;;;;;Малая секста;84;;E4_C5;E4_C5_ver;
Am_I_arp;A3;C4;E4;False;False;Am_I_arp;Тоническое трезвучие;1;Внизу;Основной вид;;85;;A3_C4_E4;A3_C4_E4;False
A_C_min3_Am_I_mel;A3;C4;;False;False;Am_I_arp;;;;;Малая терция;86;False;A3_C4;A3_C4;
C_E_maj3_Am_I_mel;;C4;E4;False;False;Am_I_arp;;;;;Большая терция;87;False;C4_E4;C4_E4;
A_E_perf5_Am_I_mel;A3;;E4;False;False;Am_I_arp;;;;;Квинта;88;False;A3_E4;A3_E4;
Am_I6_arp;C4;E4;A4;False;False;Am_I6_arp;Тонический секстаккорд;2;Наверху;Первое обращение;;89;;C4_E4_A4;C4_E4_A4;False
C_E_maj3_Am_I6_mel;C4;E4;;False;False;Am_I6_arp;;;;;Большая терция;90;False;C4_E4;C4_E4;
