name;base_chord;note_1;note_2;note_3;vertical;tonality_maj;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq
C_I;C_I;C4;E4;G4;True;True;Тоническое трезвучие;0;Внизу;Основной вид;;1;False;C4_E4_G4;C4_E4_G4_ver
C_E_maj3_C_I;C_I;C4;E4;;True;True;;;;;Большая терция;2;False;C4_E4;C4_E4_ver
E_G_min3_C_I;C_I;;E4;G4;True;True;;;;;Малая терция;3;False;E4_G4;E4_G4_ver
C_G_perf5_C_I;C_I;C4;;G4;True;True;;;;;Квинта;4;False;C4_G4;C4_G4_ver
C_I6;C_I6;E4;G4;C5;True;True;Тонический секстаккорд;0;Наверху;Первое обращение;;5;False;E4_G4_C5;E4_G4_C5_ver
E_G_maj3_C_I6;C_I6;E4;G4;;True;True;;;;;Большая терция;6;False;E4_G4;E4_G4_ver
G_C_perf4_C_I6;C_I6;;G4;C5;True;True;;;;;Кварта;7;False;G4_C5;G4_C5_ver
E_C_min6_C_I6;C_I6;E4;;C5;True;True;;;;;Малая секста;8;False;E4_C5;E4_C5_ver
C_I64;C_I64;G4;C5;E5;True;True;Тонический квартсекстаккорд;0;В середине;Второе обращение;;9;False;G4_C5_E5;G4_C5_E5_ver
G_C_perf4_C_I64;C_I64;G4;C5;;True;True;;;;;Кварта;10;False;G4_C5;G4_C5_ver
C_E_maj3_C_I64;C_I64;;C5;E5;True;True;;;;;Большая терция;11;False;C5_E5;C5_E5_ver
G_E_maj6_C_I64;C_I64;G4;;E5;False;True;;;;;Большая секста;12;False;G4_E5;G4_E5
C_I_arp;C_I_arp;C4;E4;G4;False;True;Тоническое трезвучие;1;Внизу;Основной вид;;13;False;C4_E4_G4;C4_E4_G4
C_E_maj3_C_I_mel;C_I_arp;C4;E4;;False;True;;;;;Большая терция;14;False;C4_E4;C4_E4
E_G_min3_C_I_mel;C_I_arp;;E4;G4;False;True;;;;;Малая терция;15;False;E4_G4;E4_G4
C_G_perf5_C_I_mel;C_I_arp;C4;;G4;False;True;;;;;Квинта;16;False;C4_G4;C4_G4
C_I6_arp;C_I6_arp;E4;G4;C5;False;True;Тонический секстаккорд;2;Наверху;Первое обращение;;17;False;E4_G4_C5;E4_G4_C5
E_G_maj3_C_I6_mel;C_I6_arp;E4;G4;;False;True;;;;;Большая терция;18;False;E4_G4;E4_G4
G_C_perf4_C_I6_mel;C_I6_arp;;G4;C5;False;True;;;;;Кварта;19;False;G4_C5;G4_C5
E_C_min6_C_I6_mel;C_I6_arp;E4;;C5;False;True;;;;;Малая секста;20;False;E4_C5;E4_C5
C_I64_arp;C_I64_arp;G4;C5;E5;False;True;Тонический квартсекстаккорд;3;В середине;Второе обращение;;21;False;G4_C5_E5;G4_C5_E5
G_C_perf4_C_I64_mel;C_I64_arp;G4;C5;;False;True;;;;;Кварта;22;False;G4_C5;G4_C5
